age,total,men,women,municipality_id,year
42,8488,53.0,54.0,120,2022
43,8306,51.0,53.0,120,2022
44,7781,47.0,50.0,120,2022
45,7564,46.0,49.0,120,2022
46,7683,47.0,49.0,120,2022
47,7375,46.0,46.0,120,2022
48,6927,43.0,44.0,120,2022
49,6854,43.0,43.0,120,2022
50,6576,40.0,42.0,120,2022
51,6259,39.0,39.0,120,2022
52,5918,35.0,39.0,120,2022
53,5797,35.0,38.0,120,2022
54,5594,33.0,37.0,120,2022
55,5586,33.0,37.0,120,2022
56,5658,32.0,38.0,120,2022
57,5877,33.0,40.0,120,2022
58,6176,35.0,42.0,120,2022
59,6428,35.0,46.0,120,2022
60,6612,36.0,47.0,120,2022
61,6719,34.0,50.0,120,2022
62,6596,35.0,48.0,120,2022
63,6578,34.0,49.0,120,2022
64,6396,33.0,47.0,120,2022
65,6090,30.0,46.0,120,2022
66,6041,29.0,47.0,120,2022
67,6484,32.0,49.0,120,2022
68,5737,27.0,45.0,120,2022
69,5800,27.0,46.0,120,2022
70,5457,25.0,43.0,120,2022
71,5209,24.0,42.0,120,2022
72,5407,24.0,44.0,120,2022
73,4342,19.0,36.0,120,2022
74,4174,18.0,34.0,120,2022
75,3698,16.0,31.0,120,2022
76,2157,8.0,19.0,120,2022
77,1882,7.0,16.0,120,2022
78,1592,7.0,13.0,120,2022
79,2110,9.0,18.0,120,2022
80,2811,11.0,25.0,120,2022
81,2632,10.0,23.0,120,2022
82,2707,10.0,24.0,120,2022
83,2365,9.0,21.0,120,2022
84,2458,8.0,23.0,120,2022
85,1490,5.0,14.0,120,2022
86,1091,3.0,10.0,120,2022
87,780,2.0,7.0,120,2022
88,561,2.0,5.0,120,2022
90,487,2.0,5.0,120,2022
91,474,1.0,5.0,120,2022
92,375,1.0,3.0,120,2022
93,305,1.0,3.0,120,2022
94,230,1.0,2.0,120,2022
95,184,0.0,2.0,120,2022
96,100,0.0,1.0,120,2022
97,69,0.0,1.0,120,2022
98,27,0.0,0.0,120,2022
99,13,0.0,0.0,120,2022
100,21,0.0,0.0,120,2022
0,4406,45.0,42.0,121,2022
1,4720,49.0,44.0,121,2022
2,4999,50.0,48.0,121,2022
3,5246,53.0,50.0,121,2022
4,5868,60.0,56.0,121,2022
5,6494,65.0,62.0,121,2022
6,6957,70.0,67.0,121,2022
7,6410,66.0,60.0,121,2022
8,6482,66.0,61.0,121,2022
9,6485,66.0,62.0,121,2022
10,6179,64.0,58.0,121,2022
11,6022,61.0,58.0,121,2022
12,6083,61.0,58.0,121,2022
13,5845,59.0,56.0,121,2022
14,5652,56.0,55.0,121,2022
15,5263,52.0,52.0,121,2022
16,4967,50.0,48.0,121,2022
17,5269,53.0,51.0,121,2022
18,4868,51.0,45.0,121,2022
19,4771,50.0,44.0,121,2022
20,4456,48.0,39.0,121,2022
21,4674,52.0,40.0,121,2022
22,4291,48.0,37.0,121,2022
23,4168,45.0,37.0,121,2022
24,4823,52.0,43.0,121,2022
25,5318,61.0,44.0,121,2022
26,6569,82.0,48.0,121,2022
27,6325,71.0,53.0,121,2022
28,6137,67.0,53.0,121,2022
29,6907,71.0,65.0,121,2022
30,7866,81.0,73.0,121,2022
31,8457,88.0,78.0,121,2022
32,9197,89.0,92.0,121,2022
33,9951,97.0,98.0,121,2022
34,10453,103.0,103.0,121,2022
35,10714,103.0,107.0,121,2022
36,10363,100.0,104.0,121,2022
37,10367,101.0,103.0,121,2022
38,10505,102.0,104.0,121,2022
39,9590,95.0,94.0,121,2022
40,9021,89.0,88.0,121,2022
41,9140,90.0,90.0,121,2022
42,8488,83.0,84.0,121,2022
43,8306,80.0,83.0,121,2022
44,7781,74.0,79.0,121,2022
45,7564,72.0,77.0,121,2022
46,7683,74.0,77.0,121,2022
47,7375,72.0,73.0,121,2022
48,6927,67.0,69.0,121,2022
49,6854,67.0,68.0,121,2022
50,6576,64.0,66.0,121,2022
51,6259,61.0,62.0,121,2022
52,5918,55.0,61.0,121,2022
53,5797,55.0,59.0,121,2022
54,5594,52.0,58.0,121,2022
55,5586,52.0,58.0,121,2022
56,5658,51.0,60.0,121,2022
57,5877,53.0,63.0,121,2022
58,6176,55.0,66.0,121,2022
59,6428,55.0,72.0,121,2022
60,6612,56.0,74.0,121,2022
61,6719,54.0,78.0,121,2022
62,6596,55.0,75.0,121,2022
63,6578,53.0,76.0,121,2022
64,6396,51.0,75.0,121,2022
65,6090,48.0,72.0,121,2022
66,6041,45.0,74.0,121,2022
67,6484,51.0,77.0,121,2022
68,5737,42.0,70.0,121,2022
69,5800,43.0,71.0,121,2022
70,5457,40.0,68.0,121,2022
71,5209,37.0,65.0,121,2022
72,5407,37.0,69.0,121,2022
73,4342,29.0,56.0,121,2022
74,4174,28.0,54.0,121,2022
75,3698,25.0,48.0,121,2022
76,2157,13.0,29.0,121,2022
77,1882,11.0,26.0,121,2022
78,1592,10.0,21.0,121,2022
79,2110,13.0,28.0,121,2022
80,2811,17.0,39.0,121,2022
81,2632,15.0,37.0,121,2022
82,2707,16.0,38.0,121,2022
83,2365,13.0,33.0,121,2022
84,2458,13.0,36.0,121,2022
85,1490,8.0,22.0,121,2022
86,1091,5.0,16.0,121,2022
87,780,4.0,12.0,121,2022
88,561,2.0,9.0,121,2022
90,487,2.0,7.0,121,2022
91,474,2.0,7.0,121,2022
92,375,2.0,5.0,121,2022
93,305,2.0,4.0,121,2022
94,230,1.0,3.0,121,2022
95,184,1.0,3.0,121,2022
96,100,0.0,2.0,121,2022
97,69,0.0,1.0,121,2022
98,27,0.0,0.0,121,2022
99,13,0.0,0.0,121,2022
100,21,0.0,0.0,121,2022
0,4406,11.0,10.0,122,2022
1,4720,12.0,11.0,122,2022
2,4999,12.0,12.0,122,2022
3,5246,13.0,12.0,122,2022
4,5868,15.0,14.0,122,2022
5,6494,16.0,15.0,122,2022
6,6957,17.0,17.0,122,2022
7,6410,16.0,15.0,122,2022
8,6482,16.0,15.0,122,2022
9,6485,16.0,15.0,122,2022
10,6179,16.0,14.0,122,2022
11,6022,15.0,14.0,122,2022
12,6083,15.0,14.0,122,2022
13,5845,15.0,14.0,122,2022
14,5652,14.0,14.0,122,2022
15,5263,13.0,13.0,122,2022
16,4967,12.0,12.0,122,2022
17,5269,13.0,13.0,122,2022
18,4868,12.0,11.0,122,2022
19,4771,12.0,11.0,122,2022
20,4456,12.0,10.0,122,2022
21,4674,13.0,10.0,122,2022
22,4291,12.0,9.0,122,2022
23,4168,11.0,9.0,122,2022
24,4823,13.0,11.0,122,2022
25,5318,15.0,11.0,122,2022
26,6569,20.0,12.0,122,2022
27,6325,18.0,13.0,122,2022
28,6137,17.0,13.0,122,2022
29,6907,18.0,16.0,122,2022
30,7866,20.0,18.0,122,2022
31,8457,22.0,19.0,122,2022
32,9197,22.0,23.0,122,2022
33,9951,24.0,24.0,122,2022
34,10453,25.0,25.0,122,2022
35,10714,26.0,26.0,122,2022
36,10363,25.0,26.0,122,2022
37,10367,25.0,25.0,122,2022
38,10505,25.0,26.0,122,2022
39,9590,23.0,23.0,122,2022
40,9021,22.0,22.0,122,2022
41,9140,22.0,22.0,122,2022
42,8488,20.0,21.0,122,2022
43,8306,20.0,20.0,122,2022
44,7781,18.0,19.0,122,2022
45,7564,18.0,19.0,122,2022
46,7683,18.0,19.0,122,2022
47,7375,18.0,18.0,122,2022
48,6927,17.0,17.0,122,2022
49,6854,17.0,17.0,122,2022
50,6576,16.0,16.0,122,2022
51,6259,15.0,15.0,122,2022
52,5918,14.0,15.0,122,2022
53,5797,13.0,15.0,122,2022
54,5594,13.0,14.0,122,2022
55,5586,13.0,14.0,122,2022
56,5658,13.0,15.0,122,2022
57,5877,13.0,16.0,122,2022
58,6176,14.0,16.0,122,2022
59,6428,13.0,18.0,122,2022
60,6612,14.0,18.0,122,2022
61,6719,13.0,19.0,122,2022
62,6596,14.0,18.0,122,2022
63,6578,13.0,19.0,122,2022
64,6396,13.0,18.0,122,2022
65,6090,12.0,18.0,122,2022
66,6041,11.0,18.0,122,2022
67,6484,12.0,19.0,122,2022
68,5737,10.0,17.0,122,2022
69,5800,10.0,18.0,122,2022
70,5457,10.0,17.0,122,2022
71,5209,9.0,16.0,122,2022
72,5407,9.0,17.0,122,2022
73,4342,7.0,14.0,122,2022
74,4174,7.0,13.0,122,2022
75,3698,6.0,12.0,122,2022
76,2157,3.0,7.0,122,2022
77,1882,3.0,6.0,122,2022
78,1592,3.0,5.0,122,2022
79,2110,3.0,7.0,122,2022
80,2811,4.0,10.0,122,2022
81,2632,4.0,9.0,122,2022
82,2707,4.0,9.0,122,2022
83,2365,3.0,8.0,122,2022
84,2458,3.0,9.0,122,2022
85,1490,2.0,5.0,122,2022
86,1091,1.0,4.0,122,2022
87,780,1.0,3.0,122,2022
88,561,1.0,2.0,122,2022
90,487,1.0,2.0,122,2022
91,474,1.0,2.0,122,2022
92,375,0.0,1.0,122,2022
93,305,0.0,1.0,122,2022
94,230,0.0,1.0,122,2022
95,184,0.0,1.0,122,2022
96,100,0.0,0.0,122,2022
97,69,0.0,0.0,122,2022
98,27,0.0,0.0,122,2022
99,13,0.0,0.0,122,2022
100,21,0.0,0.0,122,2022
0,4406,194.0,181.0,123,2022
1,4720,210.0,192.0,123,2022
2,4999,217.0,209.0,123,2022
3,5246,231.0,216.0,123,2022
4,5868,259.0,241.0,123,2022
5,6494,284.0,270.0,123,2022
6,6957,302.0,292.0,123,2022
7,6410,288.0,259.0,123,2022
8,6482,288.0,265.0,123,2022
9,6485,285.0,269.0,123,2022
10,6179,276.0,251.0,123,2022
11,6022,264.0,250.0,123,2022
12,6083,266.0,253.0,123,2022
13,5845,257.0,242.0,123,2022
14,5652,243.0,239.0,123,2022
15,5263,224.0,225.0,123,2022
16,4967,215.0,209.0,123,2022
17,5269,228.0,222.0,123,2022
18,4868,220.0,196.0,123,2022
19,4771,216.0,191.0,123,2022
20,4456,210.0,170.0,123,2022
