age,total,men,women,administrative_unit_id,year
33,9951,1292.0,1301.0,87,2022
34,10453,1361.0,1363.0,87,2022
35,10714,1371.0,1420.0,87,2022
36,10363,1320.0,1380.0,87,2022
37,10367,1340.0,1361.0,87,2022
38,10505,1353.0,1384.0,87,2022
39,9590,1255.0,1243.0,87,2022
40,9021,1183.0,1168.0,87,2022
41,9140,1194.0,1187.0,87,2022
42,8488,1096.0,1115.0,87,2022
43,8306,1066.0,1098.0,87,2022
44,7781,983.0,1045.0,87,2022
45,7564,955.0,1016.0,87,2022
46,7683,980.0,1021.0,87,2022
47,7375,958.0,964.0,87,2022
48,6927,887.0,918.0,87,2022
49,6854,887.0,899.0,87,2022
50,6576,843.0,871.0,87,2022
51,6259,809.0,822.0,87,2022
52,5918,728.0,814.0,87,2022
53,5797,725.0,786.0,87,2022
54,5594,689.0,768.0,87,2022
55,5586,693.0,763.0,87,2022
56,5658,674.0,800.0,87,2022
57,5877,697.0,834.0,87,2022
58,6176,728.0,881.0,87,2022
59,6428,724.0,951.0,87,2022
60,6612,747.0,975.0,87,2022
61,6719,712.0,1039.0,87,2022
62,6596,728.0,990.0,87,2022
63,6578,703.0,1010.0,87,2022
64,6396,678.0,988.0,87,2022
65,6090,630.0,957.0,87,2022
66,6041,599.0,975.0,87,2022
67,6484,670.0,1020.0,87,2022
68,5737,561.0,934.0,87,2022
69,5800,564.0,947.0,87,2022
70,5457,525.0,897.0,87,2022
71,5209,493.0,864.0,87,2022
72,5407,493.0,916.0,87,2022
73,4342,390.0,742.0,87,2022
74,4174,374.0,714.0,87,2022
75,3698,328.0,636.0,87,2022
76,2157,172.0,390.0,87,2022
77,1882,150.0,340.0,87,2022
78,1592,139.0,276.0,87,2022
79,2110,178.0,372.0,87,2022
80,2811,219.0,513.0,87,2022
81,2632,200.0,486.0,87,2022
82,2707,207.0,498.0,87,2022
83,2365,178.0,438.0,87,2022
84,2458,168.0,472.0,87,2022
85,1490,100.0,288.0,87,2022
86,1091,72.0,212.0,87,2022
87,780,47.0,156.0,87,2022
88,561,33.0,113.0,87,2022
90,487,33.0,94.0,87,2022
91,474,28.0,96.0,87,2022
92,375,26.0,72.0,87,2022
93,305,21.0,59.0,87,2022
94,230,17.0,43.0,87,2022
95,184,9.0,39.0,87,2022
96,100,5.0,21.0,87,2022
97,69,3.0,15.0,87,2022
98,27,2.0,5.0,87,2022
99,13,2.0,2.0,87,2022
100,21,2.0,4.0,87,2022
0,4406,807.0,753.0,88,2022
1,4720,874.0,798.0,88,2022
2,4999,901.0,869.0,88,2022
3,5246,960.0,898.0,88,2022
4,5868,1076.0,1002.0,88,2022
5,6494,1178.0,1122.0,88,2022
6,6957,1252.0,1212.0,88,2022
7,6410,1195.0,1075.0,88,2022
8,6482,1197.0,1098.0,88,2022
9,6485,1182.0,1115.0,88,2022
10,6179,1147.0,1041.0,88,2022
11,6022,1094.0,1038.0,88,2022
12,6083,1103.0,1051.0,88,2022
13,5845,1066.0,1004.0,88,2022
14,5652,1010.0,992.0,88,2022
15,5263,930.0,934.0,88,2022
16,4967,893.0,866.0,88,2022
17,5269,946.0,920.0,88,2022
18,4868,912.0,812.0,88,2022
19,4771,898.0,791.0,88,2022
20,4456,871.0,707.0,88,2022
21,4674,934.0,721.0,88,2022
22,4291,858.0,662.0,88,2022
23,4168,805.0,671.0,88,2022
24,4823,941.0,767.0,88,2022
25,5318,1094.0,789.0,88,2022
26,6569,1470.0,856.0,88,2022
27,6325,1280.0,960.0,88,2022
28,6137,1212.0,962.0,88,2022
29,6907,1279.0,1167.0,88,2022
30,7866,1468.0,1318.0,88,2022
31,8457,1582.0,1413.0,88,2022
32,9197,1603.0,1655.0,88,2022
33,9951,1756.0,1769.0,88,2022
34,10453,1850.0,1852.0,88,2022
35,10714,1864.0,1930.0,88,2022
36,10363,1794.0,1876.0,88,2022
37,10367,1821.0,1850.0,88,2022
38,10505,1839.0,1881.0,88,2022
39,9590,1706.0,1690.0,88,2022
40,9021,1607.0,1587.0,88,2022
41,9140,1623.0,1613.0,88,2022
42,8488,1490.0,1516.0,88,2022
43,8306,1448.0,1493.0,88,2022
