,age,total_2022,male_2022,female_2022,total_2023,male_2023,female_2023,total_2024,male_2024,female_2024,total_2025,male_2025,female_2025,total_2026,male_2026,female_2026,total_2027,male_2027,female_2027,total_2028,male_2028,female_2028,total_2029,male_2029,female_2029,total_2030,male_2030,female_2030
39,39.0,8187.0,4098.0,4089.0,9023.0,4467.0,4556.0,9092.0,4567.0,4525.0,9316.0,4602.0,4714.0,9779.0,4846.0,4933.0,9784.0,4845.0,4939.0,9506.0,4698.0,4808.0,8981.0,4448.0,4533.0,8661.0,4410.0,4251.0
40,40.0,7680.0,3849.0,3831.0,8291.0,4145.0,4146.0,9126.0,4516.0,4610.0,9194.0,4612.0,4582.0,9433.0,4657.0,4776.0,9897.0,4905.0,4992.0,9919.0,4914.0,5005.0,9642.0,4768.0,4874.0,9127.0,4522.0,4605.0
41,41.0,7830.0,3899.0,3931.0,7783.0,3896.0,3887.0,8385.0,4188.0,4197.0,9215.0,4557.0,4658.0,9280.0,4650.0,4630.0,9531.0,4704.0,4827.0,9997.0,4955.0,5042.0,10035.0,4974.0,5061.0,9762.0,4830.0,4932.0
42,42.0,7326.0,3643.0,3683.0,7945.0,3952.0,3993.0,7881.0,3940.0,3941.0,8470.0,4226.0,4244.0,9294.0,4595.0,4699.0,9351.0,4681.0,4670.0,9612.0,4742.0,4870.0,10077.0,4995.0,5082.0,10131.0,5024.0,5107.0
43,43.0,7168.0,3530.0,3638.0,7424.0,3685.0,3739.0,8050.0,3998.0,4052.0,7971.0,3980.0,3991.0,8551.0,4262.0,4289.0,9362.0,4626.0,4736.0,9411.0,4706.0,4705.0,9678.0,4773.0,4905.0,10140.0,5026.0,5114.0
44,44.0,6836.0,3292.0,3544.0,7266.0,3571.0,3695.0,7515.0,3721.0,3794.0,8150.0,4040.0,4110.0,8053.0,4013.0,4040.0,8624.0,4292.0,4332.0,9424.0,4653.0,4771.0,9462.0,4726.0,4736.0,9731.0,4796.0,4935.0
45,45.0,6776.0,3273.0,3503.0,6931.0,3335.0,3596.0,7355.0,3607.0,3748.0,7598.0,3753.0,3845.0,8241.0,4076.0,4165.0,8131.0,4043.0,4088.0,8693.0,4319.0,4374.0,9482.0,4676.0,4806.0,9508.0,4742.0,4766.0
46,46.0,6787.0,3325.0,3462.0,6861.0,3309.0,3552.0,7013.0,3372.0,3641.0,7435.0,3639.0,3796.0,7674.0,3782.0,3892.0,8324.0,4107.0,4217.0,8203.0,4071.0,4132.0,8755.0,4342.0,4413.0,9534.0,4696.0,4838.0
47,47.0,6551.0,3238.0,3313.0,6855.0,3346.0,3509.0,6934.0,3337.0,3597.0,7086.0,3403.0,3683.0,7503.0,3665.0,3838.0,7739.0,3805.0,3934.0,8400.0,4135.0,4265.0,8268.0,4093.0,4175.0,8813.0,4361.0,4452.0
48,48.0,6166.0,3007.0,3159.0,6602.0,3248.0,3354.0,6910.0,3359.0,3551.0,6995.0,3358.0,3637.0,7147.0,3426.0,3721.0,7560.0,3684.0,3876.0,7795.0,3823.0,3972.0,8464.0,4156.0,4308.0,8322.0,4109.0,4213.0
49,49.0,6129.0,2993.0,3136.0,6209.0,3016.0,3193.0,6641.0,3251.0,3390.0,6957.0,3367.0,3590.0,7045.0,3371.0,3674.0,7194.0,3441.0,3753.0,7606.0,3696.0,3910.0,7840.0,3834.0,4006.0,8517.0,4171.0,4346.0
50,50.0,5792.0,2850.0,2942.0,6165.0,3000.0,3165.0,6245.0,3022.0,3223.0,6671.0,3251.0,3420.0,6989.0,3368.0,3621.0,7084.0,3379.0,3705.0,7232.0,3449.0,3783.0,7640.0,3701.0,3939.0,7872.0,3838.0,4034.0
51,51.0,5652.0,2787.0,2865.0,5824.0,2856.0,2968.0,6195.0,3004.0,3191.0,6274.0,3025.0,3249.0,6694.0,3247.0,3447.0,7018.0,3367.0,3651.0,7115.0,3382.0,3733.0,7260.0,3453.0,3807.0,7665.0,3700.0,3965.0
52,52.0,5272.0,2472.0,2800.0,5693.0,2796.0,2897.0,5854.0,2858.0,2996.0,6222.0,3005.0,3217.0,6300.0,3024.0,3276.0,6715.0,3241.0,3474.0,7041.0,3363.0,3678.0,7138.0,3381.0,3757.0,7282.0,3452.0,3830.0
53,53.0,5175.0,2469.0,2706.0,5305.0,2480.0,2825.0,5728.0,2801.0,2927.0,5880.0,2858.0,3022.0,6243.0,3001.0,3242.0,6321.0,3020.0,3301.0,6732.0,3233.0,3499.0,7059.0,3357.0,3702.0,7155.0,3376.0,3779.0
54,54.0,4975.0,2319.0,2656.0,5202.0,2471.0,2731.0,5334.0,2484.0,2850.0,5759.0,2802.0,2957.0,5900.0,2853.0,3047.0,6262.0,2995.0,3267.0,6338.0,3013.0,3325.0,6744.0,3223.0,3521.0,7070.0,3346.0,3724.0
55,55.0,4998.0,2339.0,2659.0,5001.0,2320.0,2681.0,5224.0,2469.0,2755.0,5357.0,2484.0,2873.0,5784.0,2799.0,2985.0,5917.0,2845.0,3072.0,6275.0,2985.0,3290.0,6350.0,3003.0,3347.0,6750.0,3209.0,3541.0
56,56.0,5102.0,2327.0,2775.0,5021.0,2337.0,2684.0,5021.0,2318.0,2703.0,5241.0,2464.0,2777.0,5375.0,2481.0,2894.0,5804.0,2793.0,3011.0,5928.0,2834.0,3094.0,6282.0,2972.0,3310.0,6357.0,2990.0,3367.0
57,57.0,5285.0,2380.0,2905.0,5125.0,2326.0,2799.0,5038.0,2332.0,2706.0,5034.0,2312.0,2722.0,5251.0,2456.0,2795.0,5386.0,2474.0,2912.0,5816.0,2782.0,3034.0,5933.0,2819.0,3114.0,6285.0,2956.0,3329.0
58,58.0,5652.0,2543.0,3109.0,5299.0,2373.0,2926.0,5140.0,2320.0,2820.0,5049.0,2324.0,2725.0,5044.0,2304.0,2740.0,5257.0,2444.0,2813.0,5394.0,2465.0,2929.0,5825.0,2770.0,3055.0,5933.0,2803.0,3130.0
59,59.0,5818.0,2514.0,3304.0,5659.0,2531.0,3128.0,5308.0,2364.0,2944.0,5152.0,2313.0,2839.0,5056.0,2314.0,2742.0,5049.0,2294.0,2755.0,5258.0,2431.0,2827.0,5397.0,2454.0,2943.0,5829.0,2755.0,3074.0
60,60.0,5931.0,2560.0,3371.0,5823.0,2502.0,3321.0,5663.0,2517.0,3146.0,5312.0,2352.0,2960.0,5159.0,2303.0,2856.0,5059.0,2301.0,2758.0,5050.0,2281.0,2769.0,5257.0,2415.0,2842.0,5396.0,2440.0,2956.0
61,61.0,6124.0,2506.0,3618.0,5934.0,2545.0,3389.0,5822.0,2487.0,3335.0,5659.0,2499.0,3160.0,5310.0,2336.0,2974.0,5160.0,2289.0,2871.0,5059.0,2286.0,2773.0,5047.0,2266.0,2781.0,5250.0,2397.0,2853.0
62,62.0,6002.0,2505.0,3497.0,6125.0,2492.0,3633.0,5930.0,2526.0,3404.0,5816.0,2467.0,3349.0,5650.0,2476.0,3174.0,5305.0,2318.0,2987.0,5156.0,2272.0,2884.0,5051.0,2267.0,2784.0,5039.0,2247.0,2792.0
63,63.0,5970.0,2423.0,3547.0,5987.0,2478.0,3509.0,6121.0,2473.0,3648.0,5921.0,2502.0,3419.0,5802.0,2442.0,3360.0,5636.0,2450.0,3186.0,5293.0,2295.0,2998.0,5147.0,2251.0,2896.0,5039.0,2244.0,2795.0
64,64.0,5832.0,2343.0,3489.0,5947.0,2392.0,3555.0,5966.0,2448.0,3518.0,6112.0,2452.0,3660.0,5904.0,2474.0,3430.0,5785.0,2415.0,3370.0,5617.0,2421.0,3196.0,5277.0,2269.0,3008.0,5132.0,2227.0,2905.0
65,65.0,5623.0,2216.0,3407.0,5799.0,2306.0,3493.0,5917.0,2358.0,3559.0,5941.0,2415.0,3526.0,6095.0,2426.0,3669.0,5882.0,2443.0,3439.0,5761.0,2384.0,3377.0,5592.0,2389.0,3203.0,5254.0,2239.0,3015.0
66,66.0,5628.0,2140.0,3488.0,5579.0,2175.0,3404.0,5760.0,2267.0,3493.0,5883.0,2322.0,3561.0,5907.0,2379.0,3528.0,6072.0,2397.0,3675.0,5854.0,2409.0,3445.0,5730.0,2349.0,3381.0,5561.0,2352.0,3209.0
67,67.0,5965.0,2353.0,3612.0,5575.0,2096.0,3479.0,5530.0,2131.0,3399.0,5714.0,2226.0,3488.0,5842.0,2283.0,3559.0,5869.0,2340.0,3529.0,6039.0,2363.0,3676.0,5819.0,2371.0,3448.0,5693.0,2311.0,3382.0
68,68.0,5373.0,1987.0,3386.0,5885.0,2291.0,3594.0,5517.0,2050.0,3467.0,5477.0,2087.0,3390.0,5663.0,2182.0,3481.0,5794.0,2240.0,3554.0,5824.0,2297.0,3527.0,6002.0,2326.0,3676.0,5777.0,2329.0,3448.0
69,69.0,5401.0,2018.0,3383.0,5291.0,1931.0,3360.0,5798.0,2226.0,3572.0,5452.0,2001.0,3451.0,5416.0,2038.0,3378.0,5606.0,2135.0,3471.0,5741.0,2194.0,3547.0,5770.0,2250.0,3520.0,5955.0,2283.0,3672.0
70,70.0,5086.0,1892.0,3194.0,5308.0,1954.0,3354.0,5206.0,1873.0,3333.0,5708.0,2161.0,3547.0,5382.0,1950.0,3432.0,5352.0,1989.0,3363.0,5541.0,2084.0,3457.0,5680.0,2144.0,3536.0,5712.0,2200.0,3512.0
