administrative_unit_id,social_group_id,age,men,women,year
85,29,46,15.0,17.0,2022
85,29,47,14.0,16.0,2022
85,29,48,15.0,17.0,2022
85,29,49,13.0,15.0,2022
85,29,50,13.0,15.0,2022
85,29,51,13.0,15.0,2022
85,29,52,13.0,15.0,2022
85,29,53,13.0,16.0,2022
85,29,54,13.0,17.0,2022
85,29,55,14.0,17.0,2022
85,29,56,14.0,19.0,2022
85,29,57,14.0,19.0,2022
85,29,58,15.0,20.0,2022
85,29,59,13.0,19.0,2022
85,29,60,13.0,20.0,2022
85,31,61,13.0,19.0,2022
85,31,62,12.0,19.0,2022
85,31,63,12.0,19.0,2022
85,31,64,11.0,19.0,2022
85,31,65,10.0,18.0,2022
85,31,66,10.0,17.0,2022
85,31,67,10.0,17.0,2022
85,31,68,10.0,17.0,2022
85,31,69,10.0,17.0,2022
85,31,70,8.0,16.0,2022
85,31,71,11.0,17.0,2022
85,31,72,9.0,16.0,2022
85,31,73,7.0,12.0,2022
85,31,74,4.0,8.0,2022
85,31,75,3.0,5.0,2022
85,21,7,30.0,29.0,2022
85,21,8,23.0,22.0,2022
85,21,9,23.0,23.0,2022
85,21,10,22.0,22.0,2022
85,21,11,21.0,20.0,2022
85,22,12,20.0,19.0,2022
85,22,13,20.0,20.0,2022
85,22,14,20.0,19.0,2022
85,22,15,20.0,20.0,2022
85,23,0,32.0,32.0,2022
85,24,1,35.0,32.0,2022
85,24,2,37.0,37.0,2022
85,26,16,19.0,18.0,2022
85,26,17,19.0,18.0,2022
85,26,18,18.0,19.0,2022
85,25,3,37.0,34.0,2022
85,25,4,35.0,33.0,2022
85,25,5,34.0,32.0,2022
85,25,6,34.0,30.0,2022
85,32,87,2.0,6.0,2022
85,32,96,0.0,1.0,2022
85,32,80,6.0,17.0,2022
85,32,83,3.0,9.0,2022
85,32,90,1.0,4.0,2022
85,32,86,2.0,7.0,2022
85,32,84,2.0,7.0,2022
85,32,92,1.0,3.0,2022
85,32,93,0.0,2.0,2022
85,32,89,1.0,5.0,2022
85,32,97,0.0,1.0,2022
85,32,98,0.0,1.0,2022
85,32,99,0.0,0.0,2022
85,32,88,2.0,6.0,2022
85,32,82,4.0,11.0,2022
85,32,100,0.0,0.0,2022
85,32,79,7.0,21.0,2022
85,32,85,2.0,6.0,2022
85,32,95,0.0,1.0,2022
85,32,78,9.0,18.0,2022
85,32,81,6.0,18.0,2022
85,32,77,7.0,16.0,2022
85,32,94,0.0,2.0,2022
85,32,76,5.0,10.0,2022
85,32,91,1.0,3.0,2022
85,27,19,17.0,19.0,2022
85,27,20,18.0,21.0,2022
85,27,21,19.0,20.0,2022
85,27,22,17.0,19.0,2022
85,27,23,19.0,20.0,2022
85,27,24,19.0,20.0,2022
85,27,25,22.0,22.0,2022
85,27,26,30.0,29.0,2022
85,27,27,38.0,33.0,2022
85,27,28,44.0,38.0,2022
85,27,29,44.0,39.0,2022
85,27,30,45.0,45.0,2022
85,28,31,46.0,47.0,2022
85,28,32,44.0,46.0,2022
85,28,33,43.0,46.0,2022
85,28,34,42.0,44.0,2022
85,28,35,44.0,47.0,2022
85,28,36,40.0,44.0,2022
85,28,37,39.0,41.0,2022
85,28,38,41.0,44.0,2022
85,28,39,37.0,39.0,2022
85,28,40,37.0,38.0,2022
85,29,54,24.0,30.0,2022
85,29,51,23.0,27.0,2022
85,29,52,23.0,27.0,2022
85,29,45,30.0,31.0,2022
85,29,50,23.0,27.0,2022
85,29,60,25.0,38.0,2022
85,29,59,24.0,36.0,2022
85,29,44,32.0,35.0,2022
85,29,42,34.0,37.0,2022
85,29,41,34.0,36.0,2022
85,29,46,30.0,32.0,2022
85,29,43,34.0,37.0,2022
85,29,53,24.0,29.0,2022
85,29,48,30.0,32.0,2022
85,29,57,26.0,37.0,2022
85,29,49,26.0,29.0,2022
85,29,47,29.0,31.0,2022
85,29,55,25.0,33.0,2022
85,29,56,25.0,35.0,2022
85,29,58,28.0,39.0,2022
85,31,74,5.0,11.0,2022
85,31,71,14.0,29.0,2022
85,31,68,19.0,33.0,2022
85,31,70,15.0,30.0,2022
85,31,67,18.0,32.0,2022
85,31,63,23.0,37.0,2022
85,31,69,18.0,33.0,2022
85,31,66,19.0,34.0,2022
85,31,65,19.0,34.0,2022
85,31,62,23.0,37.0,2022
85,31,75,4.0,8.0,2022
85,31,73,9.0,17.0,2022
85,31,72,14.0,27.0,2022
85,31,61,25.0,38.0,2022
85,31,64,22.0,37.0,2022
85,21,7,21.0,21.0,2022
85,21,8,15.0,14.0,2022
85,21,9,15.0,15.0,2022
85,21,10,15.0,14.0,2022
85,21,11,14.0,13.0,2022
85,22,12,13.0,12.0,2022
85,22,13,13.0,13.0,2022
85,22,14,15.0,14.0,2022
85,22,15,15.0,15.0,2022
85,23,0,23.0,20.0,2022
85,24,1,24.0,23.0,2022
85,24,2,26.0,25.0,2022
85,26,16,15.0,14.0,2022
85,26,17,15.0,14.0,2022
85,26,18,21.0,19.0,2022
85,25,3,25.0,24.0,2022
85,25,4,24.0,23.0,2022
85,25,5,23.0,22.0,2022
85,25,6,24.0,22.0,2022
