,age,total_2022,male_2022,female_2022,total_2023,male_2023,female_2023,total_2024,male_2024,female_2024,total_2025,male_2025,female_2025,total_2026,male_2026,female_2026,total_2027,male_2027,female_2027,total_2028,male_2028,female_2028,total_2029,male_2029,female_2029,total_2030,male_2030,female_2030
51,51.0,5795.0,2937.0,2858.0,6004.0,3076.0,2928.0,6401.0,3285.0,3116.0,6502.0,3354.0,3148.0,6970.0,3637.0,3333.0,7349.0,3834.0,3515.0,7425.0,3860.0,3565.0,7594.0,3965.0,3629.0,8058.0,4267.0,3791.0
52,52.0,5396.0,2606.0,2790.0,5876.0,2989.0,2887.0,6080.0,3127.0,2953.0,6481.0,3340.0,3141.0,6585.0,3412.0,3173.0,7054.0,3696.0,3358.0,7442.0,3900.0,3542.0,7522.0,3931.0,3591.0,7693.0,4039.0,3654.0
53,53.0,5291.0,2603.0,2688.0,5459.0,2649.0,2810.0,5952.0,3038.0,2914.0,6154.0,3176.0,2978.0,6558.0,3393.0,3165.0,6665.0,3466.0,3199.0,7138.0,3754.0,3384.0,7531.0,3963.0,3568.0,7616.0,3999.0,3617.0
54,54.0,5037.0,2417.0,2620.0,5342.0,2636.0,2706.0,5520.0,2690.0,2830.0,6030.0,3087.0,2943.0,6224.0,3221.0,3003.0,6633.0,3442.0,3191.0,6741.0,3517.0,3224.0,7215.0,3807.0,3408.0,7614.0,4020.0,3594.0
55,55.0,5059.0,2431.0,2628.0,5084.0,2446.0,2638.0,5393.0,2667.0,2726.0,5578.0,2728.0,2850.0,6101.0,3131.0,2970.0,6291.0,3264.0,3027.0,6701.0,3487.0,3214.0,6814.0,3565.0,3249.0,7289.0,3856.0,3433.0
56,56.0,5110.0,2385.0,2725.0,5102.0,2456.0,2646.0,5130.0,2474.0,2656.0,5441.0,2697.0,2744.0,5633.0,2764.0,2869.0,6166.0,3171.0,2995.0,6352.0,3302.0,3050.0,6766.0,3528.0,3238.0,6882.0,3609.0,3273.0
57,57.0,5337.0,2473.0,2864.0,5149.0,2408.0,2741.0,5141.0,2478.0,2663.0,5171.0,2500.0,2671.0,5485.0,2724.0,2761.0,5682.0,2796.0,2886.0,6227.0,3208.0,3019.0,6410.0,3338.0,3072.0,6826.0,3565.0,3261.0
58,58.0,5677.0,2625.0,3052.0,5367.0,2491.0,2876.0,5189.0,2432.0,2757.0,5181.0,2502.0,2679.0,5212.0,2525.0,2687.0,5526.0,2749.0,2777.0,5728.0,2826.0,2902.0,6281.0,3240.0,3041.0,6463.0,3370.0,3093.0
59,59.0,5820.0,2572.0,3248.0,5706.0,2642.0,3064.0,5399.0,2510.0,2889.0,5229.0,2456.0,2773.0,5218.0,2524.0,2694.0,5250.0,2548.0,2702.0,5565.0,2773.0,2792.0,5771.0,2853.0,2918.0,6333.0,3271.0,3062.0
60,60.0,5957.0,2634.0,3323.0,5847.0,2590.0,3257.0,5735.0,2659.0,3076.0,5432.0,2529.0,2903.0,5266.0,2478.0,2788.0,5254.0,2545.0,2709.0,5283.0,2568.0,2715.0,5599.0,2793.0,2806.0,5810.0,2878.0,2932.0
61,61.0,6163.0,2600.0,3563.0,5985.0,2651.0,3334.0,5874.0,2607.0,3267.0,5765.0,2676.0,3089.0,5463.0,2547.0,2916.0,5299.0,2496.0,2803.0,5285.0,2562.0,2723.0,5316.0,2587.0,2729.0,5632.0,2812.0,2820.0
62,62.0,6033.0,2590.0,3443.0,6189.0,2618.0,3571.0,6012.0,2667.0,3345.0,5904.0,2625.0,3279.0,5792.0,2690.0,3102.0,5490.0,2561.0,2929.0,5330.0,2513.0,2817.0,5314.0,2576.0,2738.0,5342.0,2601.0,2741.0
63,63.0,6023.0,2532.0,3491.0,6048.0,2599.0,3449.0,6219.0,2636.0,3583.0,6040.0,2683.0,3357.0,5929.0,2639.0,3290.0,5816.0,2701.0,3115.0,5513.0,2572.0,2941.0,5357.0,2526.0,2831.0,5337.0,2587.0,2750.0
64,64.0,5885.0,2446.0,3439.0,6029.0,2536.0,3493.0,6062.0,2606.0,3456.0,6248.0,2654.0,3594.0,6065.0,2695.0,3370.0,5950.0,2649.0,3301.0,5836.0,2710.0,3126.0,5533.0,2581.0,2952.0,5380.0,2536.0,2844.0
