,age,total_2022,male_2022,female_2022,total_2023,male_2023,female_2023,total_2024,male_2024,female_2024,total_2025,male_2025,female_2025,total_2026,male_2026,female_2026,total_2027,male_2027,female_2027,total_2028,male_2028,female_2028,total_2029,male_2029,female_2029,total_2030,male_2030,female_2030
63,63,5970,2423,3547,5987,2478,3509,6121,2473,3648,5921,2502,3419,5802,2442,3360,5636,2450,3186,5293,2295,2998,5147,2251,2896,5039,2244,2795
64,64,5832,2343,3489,5947,2392,3555,5966,2448,3518,6112,2452,3660,5904,2474,3430,5785,2415,3370,5617,2421,3196,5277,2269,3008,5132,2227,2905
65,65,5623,2216,3407,5799,2306,3493,5917,2358,3559,5941,2415,3526,6095,2426,3669,5882,2443,3439,5761,2384,3377,5592,2389,3203,5254,2239,3015
66,66,5628,2140,3488,5579,2175,3404,5760,2267,3493,5883,2322,3561,5907,2379,3528,6072,2397,3675,5854,2409,3445,5730,2349,3381,5561,2352,3209
67,67,5965,2353,3612,5575,2096,3479,5530,2131,3399,5714,2226,3488,5842,2283,3559,5869,2340,3529,6039,2363,3676,5819,2371,3448,5693,2311,3382
68,68,5373,1987,3386,5885,2291,3594,5517,2050,3467,5477,2087,3390,5663,2182,3481,5794,2240,3554,5824,2297,3527,6002,2326,3676,5777,2329,3448
69,69,5401,2018,3383,5291,1931,3360,5798,2226,3572,5452,2001,3451,5416,2038,3378,5606,2135,3471,5741,2194,3547,5770,2250,3520,5955,2283,3672
70,70,5086,1892,3194,5308,1954,3354,5206,1873,3333,5708,2161,3547,5382,1950,3432,5352,1989,3363,5541,2084,3457,5680,2144,3536,5712,2200,3512
71,71,4877,1755,3122,4986,1827,3159,5209,1890,3319,5116,1815,3301,5611,2093,3518,5304,1896,3408,5279,1936,3343,5471,2031,3440,5611,2091,3520
72,72,5100,1775,3325,4773,1691,3082,4883,1761,3122,5103,1823,3280,5018,1754,3264,5506,2022,3484,5221,1840,3381,5199,1879,3320,5392,1973,3419
73,73,4106,1402,2704,4974,1704,3270,4665,1627,3038,4772,1694,3078,4990,1754,3236,4913,1690,3223,5391,1947,3444,5128,1780,3348,5110,1818,3292
74,74,3971,1364,2607,3992,1341,2651,4840,1632,3208,4547,1560,2987,4652,1624,3028,4867,1682,3185,4798,1624,3174,5268,1870,3398,5024,1715,3309
75,75,3509,1201,2308,3841,1297,2544,3867,1278,2589,4694,1556,3138,4417,1489,2928,4519,1549,2970,4732,1606,3126,4671,1552,3119,5131,1786,3345
76,76,2043,641,1402,3372,1133,2239,3699,1226,2473,3734,1213,2521,4535,1477,3058,4275,1415,2860,4376,1472,2904,4584,1525,3059,4532,1476,3056
77,77,1792,562,1230,1953,601,1352,3223,1062,2161,3546,1154,2392,3586,1143,2443,4362,1395,2967,4119,1337,2782,4218,1390,2828,4424,1440,2984
78,78,1525,514,1011,1695,520,1175,1855,560,1295,3066,990,2076,3379,1078,2301,3424,1070,2354,4172,1307,2865,3948,1254,2694,4046,1303,2743
79,79,2000,654,1346,1433,472,961,1595,478,1117,1751,517,1234,2897,915,1982,3202,1000,2202,3250,994,2256,3967,1215,2752,3764,1167,2597
80,80,2639,787,1852,1866,597,1269,1337,430,907,1491,437,1054,1641,474,1167,2717,839,1878,3009,919,2090,3063,916,2147,3746,1119,2627
81,81,2500,754,1746,2446,714,1732,1727,539,1188,1237,388,849,1380,395,985,1524,430,1094,2527,763,1764,2806,836,1970,2863,834,2029
82,82,2613,773,1840,2300,678,1622,2249,642,1607,1584,483,1101,1135,348,787,1263,352,911,1402,386,1016,2330,685,1645,2594,752,1842
83,83,2384,683,1701,2386,691,1695,2097,605,1492,2046,570,1476,1438,428,1010,1030,307,723,1147,312,835,1277,342,935,2127,607,1520
84,84,2421,658,1763,2155,605,1550,2152,609,1543,1890,532,1358,1841,501,1340,1289,373,916,922,266,656,1029,271,758,1152,300,852
85,85,1634,422,304,1881,498,347,2035,547,373,2162,587,395,2207,600,403,2226,599,408,2114,566,388,1932,511,356,1793,464,333
86,86,1196,305,223,1377,360,255,1490,396,275,1583,424,291,1616,434,297,1630,433,300,1548,409,286,1415,370,262,1313,336,245
87,87,855,200,164,985,235,188,1065,259,202,1132,277,214,1155,283,218,1165,283,221,1107,267,210,1011,242,193,939,219,180
88,88,615,140,119,708,165,136,766,181,146,814,195,155,831,199,158,838,198,160,796,188,152,727,170,140,675,154,131
89,89,534,138,99,615,162,113,665,179,122,707,192,129,721,196,132,727,195,133,691,185,127,631,167,117,586,151,109
90,90,520,118,101,598,139,115,647,153,124,688,164,131,702,168,134,708,167,135,672,158,129,615,143,118,571,130,110
91,91,411,108,76,473,127,87,512,140,93,544,150,99,556,153,101,560,153,102,532,145,97,486,131,89,451,119,83
92,92,334,88,62,385,104,70,417,114,76,443,123,80,452,125,82,456,125,83,433,118,79,395,107,72,367,97,68
93,93,252,72,45,290,84,52,314,93,56,334,100,59,341,102,60,344,102,61,326,96,58,298,87,53,277,79,50
94,94,202,39,41,232,45,47,251,50,50,267,54,53,273,55,54,275,55,55,261,52,52,239,47,48,221,42,45
95,95,110,22,22,126,26,25,137,29,27,145,31,29,148,31,29,149,31,30,142,30,28,130,27,26,120,24,24
96,96,76,11,16,87,13,18,94,14,20,100,15,21,102,16,22,103,16,22,98,15,21,89,13,19,83,12,18
97,97,30,9,5,34,10,6,37,11,6,39,12,7,40,13,7,40,13,7,38,12,7,35,11,6,32,10,6
98,98,14,7,2,16,8,2,18,9,2,19,9,2,19,9,3,19,9,3,18,9,2,17,8,2,16,7,2
99,99,23,7,4,27,8,5,29,9,5,30,9,5,31,9,5,31,9,6,30,9,5,27,8,5,25,7,5
100,100,12,4,2,14,4,3,15,5,3,15,5,3,16,5,3,16,5,3,15,5,3,14,4,3,13,4,3
